cell_type,total_cells,n_donors,cells_per_donor_min,cells_per_donor_median,cells_per_donor_max,n_tissues,tissues,mean_tissues_per_donor,balanced_split_smaller_half,balanced_split_larger_half,status,reason
B cell,2000,15,1,18.0,507,20,adipose tissue; bladder organ; blood; bone marrow; colon; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; respiratory system; skin of body; small intestine; spleen; stomach; tongue,4.2,1000,1000,FEASIBLE,
fibroblast,2000,15,1,57.0,545,20,adipose tissue; bladder organ; colon; endocrine gland; exocrine gland; eye; heart; large intestine; liver; mucosa; pancreas; prostate gland; respiratory system; skin of body; small intestine; spleen; stomach; tongue; uterus; vasculature,3.7,1000,1000,FEASIBLE,
endothelial cell,2000,16,12,83.5,298,19,adipose tissue; bladder organ; exocrine gland; heart; kidney; liver; lymph node; mucosa; musculature; ovary; pancreas; prostate gland; respiratory system; skin of body; spleen; testis; tongue; uterus; vasculature,4.0,996,1004,FEASIBLE,
intermediate monocyte,2000,16,1,26.5,748,15,adipose tissue; blood; bone marrow; exocrine gland; eye; heart; liver; lung; lymph node; musculature; pancreas; respiratory system; sensory system; spleen; vasculature,3.1,999,1001,FEASIBLE,
myeloid dendritic cell,571,17,1,21.0,161,19,adipose tissue; blood; bone marrow; colon; exocrine gland; eye; large intestine; liver; lung; lymph node; musculature; ovary; respiratory system; skin of body; small intestine; spleen; tongue; uterus; vasculature,2.9,285,286,FEASIBLE,
T cell,2000,17,1,29.0,432,19,adipose tissue; bladder organ; bone marrow; exocrine gland; eye; heart; kidney; liver; lymph node; musculature; ovary; prostate gland; respiratory system; skin of body; spleen; stomach; tongue; uterus; vasculature,3.6,1000,1000,FEASIBLE,
natural killer cell,2000,19,1,32.0,444,22,adipose tissue; bladder organ; blood; bone marrow; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; musculature; pancreas; respiratory system; skin of body; small intestine; spleen; stomach; uterus; vasculature,4.4,1000,1000,FEASIBLE,
"CD4-positive, alpha-beta T cell",2000,19,1,15.0,514,24,adipose tissue; bladder organ; blood; bone marrow; colon; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; musculature; prostate gland; respiratory system; skin of body; small intestine; spleen; stomach; tongue; uterus; vasculature,4.7,1000,1000,FEASIBLE,
mature NK T cell,2000,19,1,70.0,351,22,adipose tissue; bladder organ; blood; bone marrow; colon; exocrine gland; eye; heart; large intestine; liver; lung; lymph node; mucosa; musculature; ovary; prostate gland; respiratory system; skin of body; spleen; stomach; uterus; vasculature,4.1,990,1010,FEASIBLE,
monocyte,2000,20,1,18.5,848,24,adipose tissue; bladder organ; blood; bone marrow; colon; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; musculature; ovary; pancreas; respiratory system; small intestine; spleen; stomach; tongue; uterus; vasculature,3.8,1000,1000,FEASIBLE,
plasma cell,2000,20,1,29.5,521,25,adipose tissue; bladder organ; blood; bone marrow; colon; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; musculature; ovary; pancreas; respiratory system; skin of body; small intestine; spleen; stomach; tongue; uterus; vasculature,3.6,1000,1000,FEASIBLE,
macrophage,2000,21,1,33.0,461,27,adipose tissue; bladder organ; blood; bone marrow; endocrine gland; exocrine gland; eye; heart; kidney; liver; lung; lymph node; mucosa; musculature; ovary; pancreas; prostate gland; respiratory system; sensory system; skin of body; small intestine; spleen; stomach; testis; tongue; uterus; vasculature,4.6,1000,1000,FEASIBLE,
"CD8-positive, alpha-beta T cell",2000,23,1,22.0,554,28,adipose tissue; bladder organ; blood; bone marrow; colon; endocrine gland; exocrine gland; eye; heart; kidney; large intestine; liver; lung; lymph node; mucosa; musculature; ovary; pancreas; prostate gland; respiratory system; skin of body; small intestine; spleen; stomach; testis; tongue; uterus; vasculature,4.6,1000,1000,FEASIBLE,
