split,seed,n_half1_donors,n_half2_donors,n_types,n_pca_components,ws_obs_distance,ws_null_mean,ws_obs_null_ratio,ws_p_value,cs_obs_distance,cs_null_mean,cs_obs_null_ratio,cs_p_value,delta_obs_null
62,774414982,5,19,31,33,35.6525107899796,109.8793850325223,0.32369068112511,0.000999000999000999,56.65823686111745,112.68438183893595,0.501880361216061,0.000999000999000999,0.17818968009095104
63,732395540,10,14,32,34,38.50506761965463,108.3444899290319,0.35503782950688056,0.000999000999000999,60.90658582906347,111.24955027525834,0.546689803464319,0.000999000999000999,0.19165197395743838
64,1934879560,15,9,32,34,41.55587340178956,108.82801201905436,0.38159212834709627,0.000999000999000999,62.34310402883565,111.70383167914142,0.5572343060626274,0.000999000999000999,0.1756421777155311
65,279394470,11,13,30,31,38.93815402100159,107.358580339168,0.3621533098077305,0.000999000999000999,55.00626261406693,109.5114638303387,0.5012263535285957,0.000999000999000999,0.1390730437208652
66,56972561,13,11,30,31,39.443147114042816,105.51649383507325,0.3732401729040409,0.000999000999000999,57.18990782016444,107.85342066697119,0.5289939736092464,0.000999000999000999,0.1557538007052055
67,1927948675,14,10,30,32,40.138107552163426,106.25001427609335,0.37719899486746633,0.000999000999000999,55.199505776090675,108.59144071498858,0.5077029444130048,0.000999000999000999,0.13050394954553846
68,1899242072,12,12,31,33,40.47341681876702,107.78525095176484,0.37509829096471864,0.000999000999000999,55.75584482477365,110.41378362764313,0.5046147039210405,0.000999000999000999,0.12951641295632182
69,1999874363,11,13,30,32,34.96966699336472,107.75673487715345,0.3242767663747032,0.000999000999000999,54.559805265859964,109.84757152176421,0.49616069945427993,0.000999000999000999,0.17188393307957672
70,271820813,9,15,31,32,40.36565227122933,108.1109214790485,0.37312642558775927,0.000999000999000999,59.690641577755486,110.09809100360808,0.5412704855913157,0.000999000999000999,0.16814406000355647
71,1324556529,10,14,30,32,36.32990460664367,104.0173867041105,0.34874121813971737,0.000999000999000999,55.57779468171801,107.28070683826049,0.5173682995949891,0.000999000999000999,0.16862708145527172
72,1655351289,14,10,32,33,44.35278086542124,111.25571404185516,0.3983719166831894,0.000999000999000999,59.134329137499044,113.81942399648688,0.5187640736858738,0.000999000999000999,0.12039215700268446
73,1308306184,15,9,30,31,40.21473219543353,103.0149352742813,0.389973903148447,0.000999000999000999,57.17247054277771,105.04430883594145,0.5437174281404125,0.000999000999000999,0.15374352499196547
74,68574553,10,14,32,34,40.38339420469021,108.31937640995244,0.37199737832861,0.000999000999000999,62.19560446280867,111.095153967194,0.5587470984715,0.000999000999000999,0.18674972014288993
75,419498548,7,17,30,31,40.08194386876812,106.52932780064903,0.37572843496415,0.000999000999000999,58.329616105103135,108.79667521802321,0.53536958153525,0.000999000999000999,0.15964114657110007
76,991681409,10,14,31,32,40.02730740907081,106.97232125247358,0.3738810409111002,0.000999000999000999,64.33673462677739,109.91289404484525,0.5849280860083578,0.000999000999000999,0.21104704509725758
77,791274835,10,14,30,32,37.44187257737574,105.17642614857526,0.35575617070172166,0.000999000999000999,55.96422134928309,108.12629714101662,0.5166961410023571,0.000999000999000999,0.1609399703006354
78,1035196507,10,14,32,34,44.21857234384969,111.13500242383655,0.39741884637052954,0.000999000999000999,59.325654585825426,114.19554967980673,0.5188381179534054,0.000999000999000999,0.12141927158287585
79,1890440558,15,9,31,33,35.85681983863623,105.14383195535918,0.3403899001037283,0.000999000999000999,58.59950361977928,107.65816389798971,0.5432876987931489,0.000999000999000999,0.20289779868942054
80,787110843,15,9,31,33,35.73476347365468,105.41108425466302,0.33855285830517495,0.000999000999000999,58.69424083155945,107.94086078217809,0.5429316783625793,0.000999000999000999,0.20437882005740432
81,524150214,14,10,31,32,40.307619858806,106.16927642093476,0.37918217170625457,0.000999000999000999,55.205067122963904,108.75813629410413,0.5071688265363986,0.000999000999000999,0.12798665483014404
82,472432043,9,15,30,31,38.41509084219367,101.98271811266162,0.3761314882636298,0.000999000999000999,55.11139071235071,104.30369117278717,0.5278335187208285,0.000999000999000999,0.1517020304571987
83,2126768636,14,10,31,33,35.444573859956584,105.60919820454903,0.33512885506744156,0.000999000999000999,59.4384255317628,107.95883774416495,0.549911869653498,0.000999000999000999,0.21478301458605648
84,1431061255,18,6,31,32,41.293238312279605,108.24983866961863,0.38110449850400535,0.000999000999000999,54.747043374508756,110.8454493610392,0.49297642625101623,0.000999000999000999,0.11187192774701088
85,147697582,14,10,32,33,44.86966439233452,111.29419477970441,0.40269892358154635,0.000999000999000999,58.24794866877167,114.01748206593518,0.5104066300594219,0.000999000999000999,0.10770770647787553
86,744595490,9,15,32,34,38.22311460816182,108.95666152465337,0.3503724738191457,0.000999000999000999,60.795088264073826,111.81823971178304,0.5431595592220982,0.000999000999000999,0.19278708540295253
87,1758017741,10,14,29,31,37.15340605481713,102.74306363045066,0.36106819562683007,0.000999000999000999,53.277582354214445,105.4432738394982,0.5042563312999868,0.000999000999000999,0.14318813567315675
88,1679592528,12,12,32,33,42.3179555828183,110.03405517050385,0.38393800736941497,0.000999000999000999,62.588904991806345,112.3735200849904,0.5565663963927883,0.000999000999000999,0.1726283890233733
89,1111451555,8,16,31,32,42.72443382603881,109.48248887476878,0.38980026582053035,0.000999000999000999,60.137360762979405,111.41636201813455,0.5395691773065101,0.000999000999000999,0.14976891148597976
90,782698033,8,16,31,31,40.39025486083764,105.6535412745315,0.38194649418015986,0.000999000999000999,62.52163771809987,107.91979190329343,0.578565525747958,0.000999000999000999,0.1966190315677982
91,698027879,10,14,31,32,39.391774352217574,106.37806548125005,0.3699584887009922,0.000999000999000999,58.50189666630969,108.67926170037335,0.5376275813965787,0.000999000999000999,0.16766909269558655
92,1096768899,10,14,32,34,40.581516918206724,107.58289599012184,0.376723922805628,0.000999000999000999,61.805272467528454,110.41792583828108,0.5590114334252758,0.000999000999000999,0.18228751061964782
93,1338788865,7,17,31,31,41.11619372391117,109.09769005274359,0.3760932864191228,0.000999000999000999,59.58092695848646,111.29183631626152,0.5341354946456957,0.000999000999000999,0.15804220822657283
94,1826030589,10,14,31,33,42.59496937920138,109.87653188978423,0.3869288947299128,0.000999000999000999,56.22155037141198,113.03176405781937,0.4966846508817043,0.000999000999000999,0.1097557561517915
95,86191493,9,15,32,33,40.33194077754312,109.88810864776009,0.3664198679110831,0.000999000999000999,62.93322869157817,111.84238384280368,0.5613757911601583,0.000999000999000999,0.19495592324907524
96,893102645,12,12,32,33,43.7471391916597,111.86052289948941,0.3902429871609184,0.000999000999000999,58.02996542090462,114.48320341190373,0.5060885874426866,0.000999000999000999,0.11584560028176821
97,200619113,16,8,31,33,41.86270237650679,104.31837980366535,0.4007829515286541,0.000999000999000999,62.19100505580698,106.87209615031554,0.5811008145850459,0.000999000999000999,0.1803178630563918
98,290770691,10,14,32,33,38.81692582876087,107.91255582789907,0.3591296342477138,0.000999000999000999,61.69166105870509,110.70064869496004,0.5563971389739345,0.000999000999000999,0.19726750472622068
99,793943861,9,15,30,31,41.69935618032287,107.29396228709406,0.38834095919402045,0.000999000999000999,55.309926112018054,110.03943670966883,0.5016304814636293,0.000999000999000999,0.11328952226960887
100,134489564,12,12,28,30,34.09539331820744,97.7098241375289,0.34801754708521027,0.000999000999000999,53.70583726393789,99.25649214229276,0.5398730421838979,0.000999000999000999,0.1918554950986876
