gene_id,gene_symbol,specificity_score,mean_progenitor_residual,mean_differentiated_residual
ENSG00000075711,DLG1,0.5274981264864773,0.08447400702908212,0.07566685942619933
ENSG00000162763,LRRC52,0.5274833208523781,0.00019767723716691694,0.00017707818988143718
ENSG00000121413,ZSCAN18,0.5274732044308509,0.028369187674207902,0.025413994932799697
ENSG00000102893,PHKB,0.5274498259130896,0.08060202696078733,0.07221255937688735
ENSG00000197885,NKIRAS1,0.5274233837785977,0.011388926874066991,0.01020459215513071
ENSG00000100433,KCNK10,0.5274224720581155,0.007915664760841021,0.0070925405777605005
ENSG00000215991,MIR208B,0.5273800776953027,2.0563324592735648e-06,1.8428145624719628e-06
ENSG00000103707,MTFMT,0.5273333449583599,0.01210524484202388,0.010850339055254139
ENSG00000236699,ARHGEF38,0.5272788166691778,0.043966529670668136,0.039417304992755024
ENSG00000185972,CCIN,0.5272579529365445,0.00046146766512788606,0.0004137541547759356
ENSG00000164329,TENT2,0.5272419045007802,0.07934366268970014,0.07114449466726641
ENSG00000152127,MGAT5,0.5272254057323013,0.15985840598885478,0.1433485416483061
ENSG00000163959,SLC51A,0.5272136917538568,0.03353186760920612,0.030070174852280883
ENSG00000154589,LY96,0.5272004312339548,0.06990548371481373,0.06269206282207804
ENSG00000101350,KIF3B,0.5271796424686814,0.016879838606854422,0.015139301069725965
ENSG00000168955,TM4SF20,0.5271654046295322,0.07149069017667806,0.06412270468734654
ENSG00000177302,TOP3A,0.5271615016262938,0.02343117123994861,0.021016633024329833
ENSG00000144182,LIPT1,0.5271562000839538,0.006417857650417832,0.0057566319020065475
ENSG00000188089,PLA2G4E,0.5271489560082625,0.0016349540496893966,0.0014665489146146256
ENSG00000168002,POLR2G,0.5271184398363794,0.06547971698136006,0.05874230227049031
ENSG00000156113,KCNMA1,0.5271013369428618,0.12729896766265264,0.11420861112850486
ENSG00000040199,PHLPP2,0.5270973708122888,0.02739265863903706,0.02457621875608885
ENSG00000189241,TSPYL1,0.527088485856123,0.07676696137122616,0.06887644278422124
ENSG00000035403,VCL,0.5270808305276397,0.10092744594527095,0.09055636469575826
ENSG00000237441,RGL2,0.5270369170302376,0.02149822054121784,0.019292509380239308
ENSG00000138495,COX17,0.5270358703603725,0.06617769516594904,0.05938813229983343
ENSG00000121690,DEPDC7,0.5270105561239372,0.009574705770200524,0.008593252459366395
ENSG00000166262,FAM227B,0.5269861580361821,0.01691492984898739,0.015182554289914862
ENSG00000099840,IZUMO4,0.5269676863969707,0.009808267960605944,0.008804387452229494
ENSG00000123612,ACVR1C,0.5269346249063703,0.009174527858015917,0.00823660328495294
ENSG00000105202,FBL,0.5269282114779384,0.07823975829427422,0.07024300764992497
ENSG00000198822,GRM3,0.5269217679731377,0.0007428109424901094,0.0006669067568704866
ENSG00000160712,IL6R,0.5269114205454327,0.09792576872710161,0.0879228671322876
ENSG00000186951,PPARA,0.5268879192024173,0.0428946880574467,0.03851672126539189
ENSG00000198276,UCKL1,0.5268533704682772,0.01699289491656164,0.015260661516906809
ENSG00000144161,ZC3H8,0.5268229824679674,0.02322094002017049,0.020856370182564258
ENSG00000196323,ZBTB44,0.526747041928823,0.03681228318589645,0.033073791638745346
ENSG00000104714,ERICH1,0.5267339400498356,0.06336093264433483,0.05692927048618699
ENSG00000180974,OR52E4,0.5266928941799186,4.393791557166743e-05,3.9484352048024837e-05
ENSG00000141434,MEP1B,0.5266794069067472,0.029518625238508945,0.02652804157893025
ENSG00000071539,TRIP13,0.5266395235085188,0.007927595659756835,0.007125576967588897
ENSG00000259417,CTXND1,0.5266279923575112,0.005339941196760095,0.004799932251392992
ENSG00000157106,SMG1,0.5266192467103036,0.054943480723793195,0.04938897781625318
ENSG00000154479,CFAP210,0.5265971213936143,0.019689795662231783,0.017700829660830517
ENSG00000111731,C2CD5,0.526590031046416,0.060186403404243936,0.05410820882881376
ENSG00000187905,LRRC74B,0.5265872929524728,0.0004912565224786813,0.0004416496244287029
ENSG00000144566,RAB5A,0.5265614117227199,0.04956984673955019,0.044568929167661565
ENSG00000264364,DYNLL2,0.52654677144772,0.03916631981814832,0.03521704352574235
ENSG00000152484,USP12,0.5265143676133113,0.08567020561586478,0.07704179406651367
ENSG00000168301,KCTD6,0.5265140966544064,0.009035924898724073,0.00812586612670231
ENSG00000214140,PRCD,0.5264920739156664,0.01306921078930287,0.011753975421466752
ENSG00000114030,KPNA1,0.5264877873229821,0.05947309396305871,0.05348886905883762
ENSG00000158195,WASF2,0.5264678662759736,0.07801330010887206,0.07016915338198852
ENSG00000172046,USP19,0.5264301811953345,0.00966599930323605,0.008695408626089024
ENSG00000038427,VCAN,0.5264014404843493,0.3612679936204008,0.32502950831651084
ENSG00000177485,ZBTB33,0.5263881260736342,0.0083040442530027,0.007471471648055224
ENSG00000111011,RSRC2,0.5263868287163591,0.056926028277303885,0.05121882864497711
ENSG00000198945,L3MBTL3,0.526372735902036,0.03496879585748079,0.0314647282830797
ENSG00000090020,SLC9A1,0.5263634709179796,0.07846568268087041,0.0706056093372212
ENSG00000113721,PDGFRB,0.5263459592582014,0.07754355216992818,0.06978075194216789
ENSG00000237388,OR4A47,0.5262406533989962,5.573018916966232e-05,5.017228873602627e-05
