cell_type,rank,residual_magnitude,pct_of_ssr,germ_layer,lineage,progenitor,mki67_human,mki67_mouse,mki67_mean,stemness_human,stemness_mouse,stemness_score
mesenchymal stem cell,13,10.340755101730728,2.8593621647667633,mesoderm,mesenchymal,True,0.00076239253,0.0013209843,0.001041688415,0.9857062958058583,0.30113594799449767,0.643421121900178
"CD4-positive, alpha-beta T cell",14,10.21169775481372,2.788435252447736,mesoderm,hematopoietic,False,0.013104259,0.0022056657,0.00765496235,-0.23661713936248083,-0.37853683120325793,-0.30757698528286936
classical monocyte,15,9.928629416857593,2.635986990781183,mesoderm,hematopoietic,False,0.015760452,0.296449,0.156104726,-0.22873874753628753,-0.2965879645687815,-0.26266335605253455
macrophage,16,9.878522208732337,2.609447847939894,mesoderm,hematopoietic,False,0.024003424,0.15642542,0.090214422,0.06384997601419608,-0.045132289956888255,0.009358843028653911
B cell,17,9.84610068589495,2.592347427863209,mesoderm,hematopoietic,False,0.008240413,0.035851806,0.0220461095,-0.17640796458140473,-0.42457951083021467,-0.30049373770580967
luminal epithelial cell of mammary gland,18,9.654116202287025,2.49223909427108,ectoderm,epithelial,False,0.0059438692,0.03224354,0.0190937046,0.031888446921005974,0.3046369200253294,0.16826268347316767
large intestine goblet cell,19,9.466734231251584,2.396431559006483,endoderm,epithelial,False,0.011929126,0.01287936,0.0124042429999999,-0.0484227002189594,-0.14818764242171534,-0.09830517132033736
enterocyte of epithelium of large intestine,20,9.297263435043051,2.3113990682504912,endoderm,epithelial,False,0.016639061,0.0035822173,0.01011063915,-0.3366985491953735,0.14879531422140388,-0.09395161748698481
myeloid dendritic cell,21,8.898935755842247,2.117584763034715,mesoderm,hematopoietic,False,0.12762289,0.010755918,0.069189404,-0.18116490862437715,-0.29620079020838463,-0.2386828494163809
monocyte,22,8.722374107298508,2.034389380362581,mesoderm,hematopoietic,False,0.030737411,0.10552792,0.0681326655,0.19414059281347526,-0.17033630730185023,0.011902142755812514
natural killer cell,23,8.686951760199305,2.017899255306074,mesoderm,hematopoietic,False,0.05861141,0.07397083,0.06629112,-0.4009240053515622,-0.34635425898002303,-0.3736391321657926
intermediate monocyte,24,8.427986266571045,1.899381916619565,mesoderm,hematopoietic,False,0.009130219,0.030053237,0.019591728,-0.19053535433762503,-0.20241833462045333,-0.19647684447903918
mature NK T cell,25,8.274654323291125,1.8308989703564151,mesoderm,hematopoietic,False,0.07217893,0.02847863,0.05032878,-0.40504360378852083,-0.20716218645940662,-0.3061028951239637
adventitial cell,26,8.080278679217866,1.7458918557412253,mesoderm,mesenchymal,False,0.0009995708,0.0035670316,0.0022833012,-0.0766564021792223,-0.039485284801956476,-0.058070843490589386
granulocyte,27,7.932489173190314,1.6826106616690824,mesoderm,hematopoietic,False,0.15647347,0.17297179,0.1647226299999999,0.008246616377364006,-0.09709598455527617,-0.044424684088956085
fibroblast,28,7.507943223117857,1.507324019790829,mesoderm,mesenchymal,False,0.003253153,0.0019860298,0.0026195914,0.4620287028393095,0.15002033344429533,0.3060245181418024
bladder urothelial cell,29,7.39810930054472,1.463545224973831,endoderm,epithelial,False,0.019020902,0.010566992,0.014793947,-0.2378197014165768,0.597326602112985,0.1797534503482041
pancreatic ductal cell,30,6.787640413838285,1.2319761888115477,endoderm,epithelial,False,0.0031245705,0.006692196,0.00490838325,0.07560336509800462,0.5967393918138361,0.3361713784559203
smooth muscle cell,31,6.705379907369501,1.2022960987848603,mesoderm,mesenchymal,False,0.004302453,0.013406574,0.0088545135,0.27688707340357216,0.40011449362872514,0.33850078351614865
hepatocyte,32,6.058641994458259,0.981556361194393,endoderm,epithelial,False,0.0007575498,0.0006966077,0.00072707875,-0.3365582836758705,-0.1415916923893211,-0.2390749880325958
endothelial cell,33,5.971302732274846,0.9534607935431296,mesoderm,endothelial,False,0.009222374,0.010146978,0.009684676,0.8972550069107953,0.4817047828675163,0.6894798948891558
non-classical monocyte,34,5.89287705793573,0.9285802054475302,mesoderm,hematopoietic,False,0.006787983,0.007358604,0.0070732935,-0.19351484001284094,0.030124947130380067,-0.08169494644123043
"CD8-positive, alpha-beta T cell",35,5.3762488830814785,0.7729001491122441,mesoderm,hematopoietic,False,0.021705644,0.0046173055,0.0131614747499999,-0.20429957302005683,-0.29507699494043765,-0.24968828398024723
