cell_type,rigidity_score,avg_mean_expr,hk_ratio_human,hk_ratio_mouse,lineage,is_progenitor,n_active_tfs_human,n_active_tfs_mouse,entropy_human,entropy_mouse,mean_interdonor_var,human_count,mouse_count,min_count,mean_phastCons,n_genes_detected,cell_cycle_fraction,within_type_heterogeneity,tissue_breadth,n_marker_genes,mean_marker_seq_divergence,n_markers_with_dnds,germ_layer,is_endoderm,is_ectoderm,mean_hk_ratio,mean_n_active_tfs,mean_entropy,log_min_count
"CD4-positive, alpha-beta T cell",10.211698233902776,0.1424836482993487,2.2240662657778874,2.8215719967342183,Immune,False,218.0,176.0,7.678655357457659,7.64319125179265,200.7264404296875,97130,1721,1721,0.1488499578372248,5705.0,0.501,201.85169982910156,24.0,656.0,11.193216499999998,100.0,mesoderm,0,0,2.522819131256053,197.0,7.660923304625154,3.2357808703275603
classical monocyte,9.92862842432038,0.1667872388434582,2.1437900914686026,2.8343607829427873,Immune,False,243.0,154.0,7.73268426306542,7.631412906501194,139.81035995483398,18200,8124,8124,0.13150800570162,7466.0,0.105,235.4239959716797,11.0,1390.0,16.961473499999997,100.0,mesoderm,0,0,2.489075437205695,198.5,7.682048584783307,3.9097699147327694
macrophage,9.878526364594377,0.1689587999156147,2.0225879920687544,2.7392540457658026,Immune,False,256.0,180.0,7.765619040508088,7.616643000119018,230.84601593017575,69072,9631,9631,0.1670285519777916,8294.0,0.1535,336.62530517578125,27.0,1146.0,18.6704955,100.0,mesoderm,0,0,2.3809210189172783,218.0,7.691131020313553,3.9836713828601966
B cell,9.84610773899485,0.1451689647200879,2.1485790056416723,2.9133301946649093,Immune,False,222.0,146.0,7.639556294417352,7.547188519601964,183.71334838867188,114495,36349,36349,0.1475526114648181,6201.0,0.422,166.172119140625,20.0,794.0,12.603448,100.0,mesoderm,0,0,2.530954600153291,184.0,7.593372407009658,4.560492467452119
luminal epithelial cell of mammary gland,9.65411330485748,0.1885983037405031,2.389095166986382,2.8063699347355655,Epithelial,False,242.0,167.0,7.738611470128839,7.514650675902226,195.50760650634768,15432,2671,2671,0.1779267841422064,8838.0,0.084,191.0037078857422,1.0,1999.0,14.304981999999997,100.0,ectoderm,0,1,2.5977325508609734,204.5,7.626631073015533,3.426673888021373
large intestine goblet cell,9.46673512918766,0.1703098427896375,1.6512915063788236,2.657408409283943,Epithelial,False,250.0,174.0,7.732024136235419,7.597560934355126,128.9575233459473,1557,1745,1557,0.1221391345432847,6704.0,0.17790622992935132,210.5939483642578,2.0,1545.0,17.513982,100.0,endoderm,1,0,2.1543499578313834,212.0,7.664792535295273,3.1922886125681202
enterocyte of epithelium of large intestine,9.29725882164393,0.1409739171493814,1.6757398650861737,2.44309983080007,Epithelial,False,237.0,169.0,7.740063965150405,7.617494052657077,156.91543579101562,4567,3667,3667,0.1179159927376804,6520.0,0.1665,217.84559631347656,2.0,1101.0,20.640110500000002,100.0,endoderm,1,0,2.059419847943122,203.0,7.67877900890374,3.5643109099606027
myeloid dendritic cell,8.898942576915942,0.1553641106826388,2.2031073879908067,2.770726904130086,Immune,False,236.0,191.0,7.711602612299488,7.604040234527137,314.50860595703125,571,618,571,0.1404543680863176,7456.0,0.30998248686514884,415.72900390625,19.0,627.0,19.372704500000005,100.0,mesoderm,0,0,2.4869171460604464,213.5,7.657821423413312,2.756636108245848
monocyte,8.722376854060062,0.1686766819638644,2.1148857301178916,2.7622710250726716,Immune,False,248.0,178.0,7.746767660322736,7.611041755113998,289.0224075317383,25753,3674,3674,0.1555858990187155,7478.0,0.159,309.73028564453125,24.0,1051.0,18.0109375,100.0,mesoderm,0,0,2.438578377595282,213.0,7.678904707718367,3.5651391519697895
natural killer cell,8.686953921396096,0.159271797730036,2.189736138662186,2.8746472180790152,Immune,False,230.0,166.0,7.68843861075992,7.625827593762173,209.84307861328125,14231,3362,3362,0.1479580009349645,6345.0,0.335,198.41908264160156,22.0,938.0,15.031302999999998,100.0,mesoderm,0,0,2.5321916783706007,198.0,7.657133102261046,3.526597709103452
