Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),2/364,0.0505864941092995,0.0989242687843617,0,0,6.021485573971762,17.96853838967208,RPL5;RPL11
GO_Biological_Process_2023,Regulation Of Macromolecule Biosynthetic Process (GO:0010556),1/53,0.051710413228189,0.0989242687843617,0,0,20.17004048582996,59.74559828701417,RPL10
GO_Biological_Process_2023,Myeloid Cell Differentiation (GO:0030099),1/57,0.0555082103235644,0.1017650522598682,0,0,18.725563909774436,54.1398060702703,RPS14
GO_Biological_Process_2023,Post-Transcriptional Regulation Of Gene Expression (GO:0010608),1/57,0.0555082103235644,0.1017650522598682,0,0,18.725563909774436,54.1398060702703,RPL10
GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),1/59,0.0574016861834188,0.1030887425334868,0,0,18.078039927404717,51.661282065881295,RPL11
GO_Biological_Process_2023,Regulation Of Cellular Biosynthetic Process (GO:0031326),1/70,0.0677515123929905,0.1192426618116633,0,0,15.187643020594964,40.88374528633187,RPL10
GO_Biological_Process_2023,Embryonic Organ Development (GO:0048568),1/77,0.0742814572247087,0.1272797337657677,0,0,13.78393351800554,35.8367650118558,RPL10
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),1/78,0.0752107517706809,0.1272797337657677,0,0,13.604237867395762,35.20043603994484,RPS27A
GO_Biological_Process_2023,Glucose Homeostasis (GO:0042593),1/87,0.0835346163259223,0.1312686827978779,0,0,12.175030599755202,30.224442437891277,RPS6
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),2/480,0.0822042607813134,0.1312686827978779,0,0,4.533240353324035,11.326519270835336,RPL5;RPL11
GO_Biological_Process_2023,Positive Regulation Of Protein Ubiquitination (GO:0031398),1/84,0.0807679353123666,0.1312686827978779,0,0,12.61699429296132,31.74656854741361,RPS2
GO_Biological_Process_2023,Positive Regulation Of Amide Metabolic Process (GO:0034250),1/85,0.0816910427282763,0.1312686827978779,0,0,12.466165413533837,31.225387249064404,RPL5
GO_Biological_Process_2023,Positive Regulation Of Binding (GO:0051099),1/91,0.0872112207421384,0.1346418846545294,0,0,11.63157894736842,28.37433281380585,RPL11
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),1/96,0.0917872740073591,0.1392634502180622,0,0,11.01662049861496,26.310792233027552,RPL10
GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),1/102,0.0972497716409988,0.1450505068543712,0,0,10.359041167274622,24.14146206514577,RPS13
GO_Biological_Process_2023,Positive Regulation Of Translation (GO:0045727),1/108,0.1026810483364275,0.1494315559211899,0,0,9.775209050664044,22.249624223401657,RPL5
GO_Biological_Process_2023,Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434),1/109,0.1035832376271884,0.1494315559211899,0,0,9.68421052631579,21.95778295069413,RPL11
GO_Biological_Process_2023,Regulation Of Protein Binding (GO:0043393),1/118,0.1116642551220043,0.158446145874703,0,0,8.935222672064777,19.58831903150389,RPL11
GO_Biological_Process_2023,Protein Localization To Nucleus (GO:0034504),1/122,0.1152335606361476,0.158446145874703,0,0,8.638103523270987,18.66516440827309,RPL11
