cell_type,k,S_pre,S_post,improvement
fibroblast,5,0.5771639927838305,0.21741617511484385,-0.3597478176689866
fibroblast of cardiac tissue,1,0.1807568750128379,0.000357754827519211,-0.1803991201853187
fibroblast of cardiac tissue,3,0.4067794266912746,0.18646264810603141,-0.22031677858524318
fibroblast of cardiac tissue,5,0.5796145770314721,0.2709195569014296,-0.3086950201300425
granulocyte,1,0.1937186167529191,0.015217818851273114,-0.178500797901646
granulocyte,3,0.1816511337561635,0.18236731026640926,0.0007161765102457474
granulocyte,5,0.31328956241250505,0.22399523084237685,-0.0892943315701282
hematopoietic precursor cell,1,0.019630431825130475,0.00012845407917993928,-0.019501977745950534
hematopoietic precursor cell,3,0.30174882733353287,0.2173403421017179,-0.08440848523181496
hematopoietic precursor cell,5,0.3883606388820073,0.2401058978906418,-0.14825474099136549
hematopoietic stem cell,1,0.0834434683831993,0.024903340917581025,-0.05854012746561828
hematopoietic stem cell,3,0.5970229646570216,0.09346944374448603,-0.5035535209125356
hematopoietic stem cell,5,0.6212898227909122,0.22018041053896945,-0.40110941225194274
hepatocyte,1,0.05980306461779433,0.01285436398779496,-0.046948700629999375
hepatocyte,3,0.4866199839131187,0.18085552750359005,-0.30576445640952865
hepatocyte,5,0.5238149691606344,0.238256672325875,-0.2855582968347594
intermediate monocyte,1,0.07305520950895292,0.028715178463437022,-0.0443400310455159
intermediate monocyte,3,0.32418850136467525,0.17318017871322774,-0.1510083226514475
intermediate monocyte,5,0.2884188503862233,0.2808774840314306,-0.007541366354792689
large intestine goblet cell,1,0.23249745143084177,0.09698945511157998,-0.1355079963192618
large intestine goblet cell,3,0.4081339074432651,0.1741608675067495,-0.2339730399365156
large intestine goblet cell,5,0.5294003802872855,0.26261853149444486,-0.26678184879284067
luminal epithelial cell of mammary gland,1,0.08824357960397652,0.001904780736642264,-0.08633879886733425
luminal epithelial cell of mammary gland,3,0.41173586284295943,0.14503076767988957,-0.26670509516306984
luminal epithelial cell of mammary gland,5,0.5176788439288271,0.21478309495645242,-0.3028957489723747
macrophage,1,0.32002396657075205,0.0007952746746962941,-0.31922869189605574
macrophage,3,0.3944031580851968,0.1566065018757007,-0.23779665620949614
macrophage,5,0.3744673485972277,0.2172466769866573,-0.15722067161057038
mature NK T cell,1,0.0008239711885947498,0.008107053538501312,0.007283082349906563
mature NK T cell,3,0.36039434044665625,0.2302591771602387,-0.13013516328641755
mature NK T cell,5,0.4257078957426228,0.19630402673425307,-0.22940386900836973
mesenchymal stem cell,1,0.04712549080200758,0.10090702228839224,0.05378153148638466
mesenchymal stem cell,3,0.47782982078029396,0.12396880479187895,-0.353861015988415
mesenchymal stem cell,5,0.5596959774409578,0.19873242371476624,-0.36096355372619154
mesenchymal stem cell of adipose tissue,1,0.12331789995377501,0.0004784266424425946,-0.12283947331133242
mesenchymal stem cell of adipose tissue,3,0.33592617628208754,0.16953282809656142,-0.16639334818552612
mesenchymal stem cell of adipose tissue,5,0.40076752583318387,0.18641584018998958,-0.2143516856431943
monocyte,1,0.09440031077125131,0.05354336718710134,-0.04085694358414997
monocyte,3,0.3105716864572275,0.15746422352259024,-0.15310746293463726
monocyte,5,0.34600907515825224,0.27354704688619347,-0.07246202827205878
myeloid dendritic cell,1,0.12700103317719666,0.03982940279175962,-0.08717163038543704
myeloid dendritic cell,3,0.455214889450912,0.16274036067309025,-0.29247452877782176
myeloid dendritic cell,5,0.5005790790763782,0.19179263864165622,-0.30878644043472203
myeloid leukocyte,1,0.300583606084356,0.005748414618318203,-0.2948351914660378
myeloid leukocyte,3,0.3340914237941868,0.1334901880720112,-0.2006012357221756
