Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Mammary Gland Epithelial Cell Proliferation (GO:0033599),1/7,0.0069799958941807,0.037129700381545,0,0,175.21052631578948,869.8689177892479,GPX1
GO_Biological_Process_2023,Positive Regulation Of Aspartic-Type Peptidase Activity (GO:1905247),1/7,0.0069799958941807,0.037129700381545,0,0,175.21052631578948,869.8689177892479,GRN
GO_Biological_Process_2023,UV Protection (GO:0009650),1/7,0.0069799958941807,0.037129700381545,0,0,175.21052631578948,869.8689177892479,GPX1
GO_Biological_Process_2023,Negative Regulation Of Microglial Cell Activation (GO:1903979),1/7,0.0069799958941807,0.037129700381545,0,0,175.21052631578948,869.8689177892479,GRN
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),2/124,0.0067345291088687,0.037129700381545,0,0,18.0856102003643,90.4372274339782,GRN;ETS1
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),2/122,0.0065259614572547,0.037129700381545,0,0,18.38888888888889,92.53228181387864,FCER1G;MRC1
GO_Biological_Process_2023,Regulation Of Defense Response To Bacterium (GO:1900424),1/8,0.0079733565142536,0.0401815203284095,0,0,150.17293233082708,725.5830081396662,GRN
GO_Biological_Process_2023,Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272),1/8,0.0079733565142536,0.0401815203284095,0,0,150.17293233082708,725.5830081396662,TYROBP
GO_Biological_Process_2023,Angiotensin Maturation (GO:0002003),1/8,0.0079733565142536,0.0401815203284095,0,0,150.17293233082708,725.5830081396662,CTSZ
GO_Biological_Process_2023,Regulation Of Angiotensin Levels In Blood (GO:0002002),1/8,0.0079733565142536,0.0401815203284095,0,0,150.17293233082708,725.5830081396662,CTSZ
GO_Biological_Process_2023,Neuron Remodeling (GO:0016322),1/9,0.0089657734963174,0.0418767225498728,0,0,131.39473684210526,619.439581424405,C1QA
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Production (GO:0071635),1/9,0.0089657734963174,0.0418767225498728,0,0,131.39473684210526,619.439581424405,TYROBP
GO_Biological_Process_2023,Regulation Of Inflammatory Response To Wounding (GO:0106014),1/9,0.0089657734963174,0.0418767225498728,0,0,131.39473684210526,619.439581424405,GRN
GO_Biological_Process_2023,Positive Regulation Of Monocyte Differentiation (GO:0045657),1/9,0.0089657734963174,0.0418767225498728,0,0,131.39473684210526,619.439581424405,CD74
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),3/434,0.0087914329973625,0.0418767225498728,0,0,8.00423092670943,37.89184954972829,CD74;GRN;AIF1
GO_Biological_Process_2023,Regulation Of Granulocyte Differentiation (GO:0030852),1/9,0.0089657734963174,0.0418767225498728,0,0,131.39473684210526,619.439581424405,C1QC
GO_Biological_Process_2023,Negative Regulation Of B Cell Proliferation (GO:0030889),1/10,0.0099572476243861,0.0443444865132548,0,0,116.78947368421052,538.3357753631753,TYROBP
