drug_name,deformation,deformation_std,n_replicates
azd-6482,14451.784,5638.148776973161,5
azd-7762,15789.16,7022.5253233779285,3
azd-8055,15010.492,4373.711585637124,3
azithromycin,10927.776,906.6873931444693,3
baccatin-iii,11785.406,2873.0639987955396,3
badge,17012.72,9673.440367341114,6
balsalazide,14880.082,2800.35280035429,3
bapta-am,12094.46,553.6610104739686,3
barasertib-hqpa,13370.392,4016.829382103549,9
bas-09104376,10955.812,465.20306221856697,3
bax-channel-blocker,15283.907,2342.0770867161996,3
bay-11-7082,16781.863,3206.1504527951442,4
bay-36-7620,11649.284,2026.1251079257192,3
bay-59-3074,13529.949,2590.3029823163033,3
bay-k-8644-(s)-(-),14055.247,4542.809214542031,3
bci-hydrochloride,14095.026,2594.823499625792,3
bcl2-inhibitor,12665.995,566.6815967299317,3
bd-1008,12641.806,3397.712801747046,3
bd-1047,10614.852,2327.0070202533307,3
bd-1063,13541.203,2493.620419154249,3
be-2254,13511.591,2257.4038608452356,3
beclometasone,13294.339,687.0099277843277,3
beclomethasone-dipropionate,15611.749,6733.53763338203,3
belinostat,13291.683,847.3381428507663,3
bemegride,13245.608,2066.3023908349032,3
bemesetron,17047.576,9770.158343300995,3
benazepril,15726.741,4682.778280751294,6
bendroflumethiazide,15621.583,5586.231255662119,6
benperidol,15709.121,7393.95640610485,3
benzamil,11922.827,2581.1867859337844,3
benzbromarone,12281.763,1659.7811993270757,3
benzohydroxamic-acid,17850.617,229.48950843128196,3
benzonatate,20956.795,5701.326102408291,5
benzopurpurin-4b,18018.785,6571.283087737905,5
benzoxiquine,14737.058,6122.050900704037,5
benzthiazide,13079.591,1973.8386126149408,5
benzydamine,10914.968,2700.295097886622,3
benzylpenicillin,18296.424,10624.148750224433,5
bepridil,18581.486,5593.373059126263,6
beta-ccp,12853.215,3952.0055807534113,3
betahistine,9349.301,763.3866804836823,2
betamethasone,14550.985,5597.1764540838185,8
betamethasone-acetate,12162.577,2603.182793015904,5
betaxolol,11219.875,2103.3395296189037,2
betulinic-acid,17563.31,11343.644245641077,3
bezafibrate,13259.086,2965.261954381311,2
bg-fa-0953,11743.453,1655.597922953132,3
bh3i-1,10228.613,1783.252595652881,3
bi-2536,16614.438,4580.4235994506125,3
bi-78d3,14984.481,4132.00571490743,3
bibx-1382,14197.07,2934.950750982524,5
bicalutamide,13069.705,3154.858412756784,2
bicuculline,14776.996,10263.451544050082,3
bifemelane,17766.822,8881.494611764,3
biib-021,12973.575,620.9760615994197,3
biochanin-a,11632.2295,742.6301829363697,3
biotin,11470.099,150.13582253494442,3
biperiden,13461.771,3532.8482807169216,7
bis-tyrphostin,11979.469,3065.058182039735,3
bisacodyl,12900.181,1339.3532099475335,5
bisbenzimide,11503.519,431.90926035063865,3
bisindolylmaleimide-ix,18356.922,3975.276048071053,6
bisoprolol,12776.494,5714.713389093534,4
bithionol,15571.036,6661.038644516499,5
bix-02188,17151.725,7591.376800952558,6
bjm-af-64,13690.3545,4496.933269566376,3
bjm-csc-15,14199.266,3521.3760298581938,9
bl-050,13575.024,762.5028015612639,3
bl-074,9687.458,744.0222217399206,3
bl-077,10771.388,3887.019676440386,3
bl003-049-hdac3,22611.303,6066.3310842708825,3
bml-190,16838.998,4871.760444656377,3
bml-257,14200.528,3982.327958142455,3
bms-191011,13945.931,3358.59146337296,6
bms-299897,14027.8955,4208.994018952429,3
bms-345541,14008.448,958.4832418983651,2
bms-754807,13462.042,2330.147305293644,3
bmy-14802,11113.11,1884.0573523930234,3
bmy-7378,11015.401,3011.0308118722496,3
boldine,14796.937,2409.0986344264356,3
bongkrek-acid,13260.137,4127.956806045592,2
bosutinib,12180.966,3350.168655092478,3
bp-554,16621.064,10282.170325340268,3
bp-897,17614.156,6554.3913199221,3
brazilin,15576.998,5004.7680671313,5
brd-a00474148,14411.094,1585.360443730662,3
brd-a00626522,15505.133,11119.078123729258,3
brd-a01973626,14808.935,868.0809229729754,3
brd-a01999384,15406.856,6959.11069093854,3
brd-a03436432,9897.365,608.5758829681531,3
brd-a03946276,11455.023,1589.773999125858,3
brd-a04392722,16646.6,13363.80944460529,3
brd-a05565054,11778.872,1851.8872642819936,3
brd-a05831822,11297.441,1049.5579641406152,3
brd-a06276885,15488.255,5091.2195363262,3
brd-a06909528,20849.63,7211.175272682343,3
brd-a07614565,13914.077,6004.997384048573,3
brd-a08610364,12065.27,2345.1933458283156,3
brd-a08658758,19440.781,895.9151685887473,3
brd-a08662020,15731.551,11225.360851008676,3
brd-a09164687,15098.044,9116.339691585841,3
brd-a09984573,13412.276,1595.8583454751936,3
brd-a11087911,10592.368,1040.0635270809234,3
brd-a11095214,12056.492,2599.693409506279,3
brd-a11512624,21504.055,15227.436809553605,2
brd-a11731846,17036.688,5442.309682674113,6
brd-a11929187,10230.478,307.61528934237873,3
brd-a11968133,15229.965,9487.54175928851,3
brd-a12083771,15431.776,3465.435145459786,3
brd-a12633378,14992.886,9677.043469022145,3
brd-a12643502,15200.008,8068.977487460961,3
brd-a13020530,23550.33,2632.4317238800118,6
brd-a13346522,11430.212,3433.783710371444,6
brd-a13461302,15811.958,9047.586201616192,3
brd-a13914662,11979.489,3381.0138953052765,3
brd-a13964793,10847.234,2577.6327841677125,2
brd-a14178283,12912.961,2164.0064281176737,3
brd-a15113563,22613.492,3477.0965352728103,6
brd-a16820783,10530.124,1188.3094984525708,3
brd-a17664363,14070.116,1662.0577956857612,3
brd-a17718497,9280.24,758.9373500660156,3
brd-a17757596,15346.956,5274.471204091398,3
brd-a18279961,16679.768,9631.059670683055,3
brd-a18411371,21382.89,366.1843834452656,3
brd-a18725729,21303.709,1605.5113088105952,3
brd-a19928752,15035.247,1684.7690257333936,3
brd-a20488704,13638.325,8286.898253221241,3
brd-a21406558,11504.999,1835.0389646060698,3
brd-a21812217,15152.956,253.39922081183457,3
brd-a22514244,21629.623,6522.8198716929355,3
brd-a24054354,15363.806,3468.7179935470663,3
brd-a24225650,13707.759,1243.6696776484669,3
brd-a25170757,14316.827,1376.7596265416926,3
brd-a25416824,12710.052,2392.592998364365,3
brd-a26595446,14839.928,6887.999457934418,5
brd-a26962727,14918.312,1589.6552434518367,3
brd-a29721261,10064.248,421.78116454534603,3
brd-a30083233,12798.058,1110.5441309394262,3
