compound_name,dili_class,matched_name,drug_name,deformation,deformation_std,n_replicates
Sitagliptin phosphate,less-concern,sitagliptin,sitagliptin,12768.384,2558.4264518621944,3
Sonidegib phosphate,ambiguous,sonidegib,sonidegib,17131.143,7729.343416465558,3
Sorafenib tosylate,most-concern,sorafenib,sorafenib,13741.32,5719.378101403534,6
Spironolactone,less-concern,spironolactone,spironolactone,17507.037,7240.718822738129,3
Stiripentol,no-concern,stiripentol,stiripentol,13473.441,986.9768841336847,3
suloctidil,most-concern,suloctidil,suloctidil,15618.3125,6207.194552557003,6
Sunitinib malate,most-concern,sunitinib,sunitinib,13116.578,2132.089057507366,3
Tacrolimus,less-concern,tacrolimus,tacrolimus,15415.176,5710.392000101694,8
Tadalafil,less-concern,tadalafil,tadalafil,13153.5625,4056.0719208010596,5
Tamoxifen citrate,most-concern,tamoxifen,tamoxifen,16664.586,4828.353454890674,11
Telmisartan,less-concern,telmisartan,telmisartan,14015.883,5434.442881708676,3
Temozolomide,less-concern,temozolomide,temozolomide,15642.589,6131.816018963259,3
Temsirolimus,no-concern,temsirolimus,temsirolimus,13271.754,3012.996218221169,3
Teniposide,less-concern,teniposide,teniposide,15501.013,2221.4766014936918,5
Terazosin hydrochloride,no-concern,terazosin,terazosin,9642.906,1162.9752670066534,3
Thalidomide,less-concern,thalidomide,thalidomide,13867.051,3501.5906662739153,8
Thioridazine hydrochloride,less-concern,thioridazine,thioridazine,15056.434,5892.669352570912,3
Thiotepa,less-concern,thiotepa,thiotepa,12934.945,2853.9568804229457,5
Thiothixene,ambiguous,thiothixene,thiothixene,12624.091,4960.7337598595195,5
Ticlopidine hydrochloride,most-concern,ticlopidine,ticlopidine,14278.256,4791.698626717849,5
Tigecycline,most-concern,tigecycline,tigecycline,19783.053,3021.714780040058,6
Timolol maleate,ambiguous,timolol,timolol,10635.5625,963.3841492910681,3
Tinidazole,less-concern,tinidazole,tinidazole,14565.198,265.33117492694845,3
Tivozanib hydrochloride,ambiguous,tivozanib,tivozanib,13618.621,3297.9382655315108,3
Tofacitinib citrate,ambiguous,tofacitinib,tofacitinib,10626.821,898.622576280262,3
